시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,참고사항,조건부허가시작일,조건부허가종료일,조건부허가신고사유,신고조건,내외국인구분,국적
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,perm_nt_ymd,upso_nm,site_addr_rd,site_addr,trdp_area,upso_site_telno,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_gbn_nm,dcb_why,snt_uptae_nm,bdng_jisg_flr_num,bdng_jisg_flr_num2,bdng_under_flr_num,bdng_under_flr_num2,bdng_tot_flr_num,ed_fin_ymd,ge_eh_yn,grade_facil_gbn,site_loc_gbn,eip_man,eip_woman,ptsof_sort,ordtm_ptsof_avg,ordtm_ptsof_max,one_ptsof_stf,avg_food_amt,mng_gbn,trdp_area_jorijang,trdp_area_room,trdp_area_dance,trdp_area_etc,toil_area_upso,toil_etc_area_upso,trdp_area_dress_room,trdp_area_guest_seat,area_wrk,area_isp,trdp_disp_sil_ar,trdp_ware_depo_ar,perm_nt_no,rfn_item,cn_perm_stdt,cn_perm_enddt,cn_perm_nt_sayu,perm_nt_cn,kor_frgnr_gbn,ntn
3150000,102,1985,00746,유흥주점영업,19851010,OK 노래바,서울특별시 강서구 공항대로 14-1, 지하 1층 (공항동),서울특별시 강서구 공항동  72번지 30호  (지하 1층),66.98,  0226632064  ,20161025,,19961226,공항동,,,,룸살롱,,,1,1,,,비대상,상수도전용,지하,,,,,,,,,2.70,32.38,0.00,20.20,7.00,0.00,4.70,0.00,0.00,0.00,,,3150000-102-1985-00746,,,,,,내국인,대한민국
3150000,102,1989,00752,유흥주점영업,19890830,블루노래바,서울특별시 강서구 송정로 60, 지하 1층 (공항동),서울특별시 강서구 공항동  53번지 58호  (지하 1층),82.76,  0226646229  ,20120403,,20010628,공항동,,,,룸살롱,,,1,1,,,비대상,상수도전용,지하,1,2,,,,,,,12.00,29.55,0.00,0.00,4.35,0.00,3.48,33.38,0.00,0.00,,,3150000-102-1989-00752,,,,,,내국인,대한민국
3150000,102,1999,07541,유흥주점영업,19990914,쇼걸,서울특별시 강서구 공항대로 6, 지하 1층 (공항동),서울특별시 강서구 공항동  434번지 2호  외 3필지 (지하 1층),193.89,  0226639881  ,20181015,,20010830,공항동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,12.54,95.42,0.00,12.54,0.00,10.00,0.00,73.39,0.00,0.00,,,3150000-102-1999-07541,,,,,,내국인,대한민국
3150000,102,1999,07541,유흥주점영업,19990914,런웨이,서울특별시 강서구 공항대로 6, 지하 1층 (공항동),서울특별시 강서구 공항동  434번지 2호  외 3필지 (지하 1층),193.89,  0226639881  ,20181015,,20010830,공항동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,12.54,95.42,0.00,12.54,0.00,10.00,0.00,73.39,0.00,0.00,,,3150000-102-1999-07541,,,,,,내국인,대한민국
3150000,102,1999,07541,유흥주점영업,19990914,쇼걸,서울특별시 강서구 공항대로 6, 지하 1층 (공항동),서울특별시 강서구 공항동  434번지 2호  외 3필지 (지하 1층),193.89,  0226639881  ,20161216,,20010830,공항동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,12.54,95.42,0.00,12.54,0.00,10.00,0.00,73.39,0.00,0.00,,,3150000-102-1999-07541,,,,,,내국인,대한민국
3150000,102,1999,07541,유흥주점영업,19990914,런웨이,서울특별시 강서구 공항대로 6, 지하 1층 (공항동),서울특별시 강서구 공항동  434번지 2호  외 3필지 (지하 1층),193.89,  0226639881  ,20161216,,20010830,공항동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,12.54,95.42,0.00,12.54,0.00,10.00,0.00,73.39,0.00,0.00,,,3150000-102-1999-07541,,,,,,내국인,대한민국
3150000,102,2000,07862,유흥주점영업,20000321,황진이,서울특별시 강서구 공항대로 20, 지하 1층 (공항동),서울특별시 강서구 공항동  50번지 1호  외 2필지 (지하 1층),90.88,  02 6668338  ,20190603,,20010522,공항동,,,,룸살롱,,,1,1,5,,비대상,상수도전용,지하,,,,,,,,,5.80,53.33,0.00,26.75,5.00,0.00,0.00,0.00,0.00,0.00,,,3150000-102-2000-07862,,,,,,내국인,대한민국
3150000,102,2000,07862,유흥주점영업,20000321,황진이,서울특별시 강서구 공항대로 20, 지하 1층 (공항동),서울특별시 강서구 공항동  50번지 1호  외 2필지 (지하 1층),90.88,  02 6668338  ,20160511,,20010522,공항동,,,,룸살롱,,,1,1,5,,비대상,상수도전용,지하,,,,,,,,,5.80,53.33,0.00,26.75,5.00,0.00,0.00,0.00,0.00,0.00,,,3150000-102-2000-07862,,,,,,내국인,대한민국
3150000,102,1992,00799,유흥주점영업,19920409,호박관광나이트클럽,서울특별시 강서구 공항대로 516, 지하 2층 (등촌동, 2동 호텔그린월드),서울특별시 강서구 등촌동  505번지 2호  외 5필지 호텔그린월드 (지하 2층),921.90,  0226520348  ,20121101,,20010306,등촌제2동,20160930,자진폐업,영업종료,관광호텔나이트(디스코),,,2,2,11,,비대상,상수도전용,지하,0,0,,,,,,,36.67,228.62,163.20,81.60,30.35,,26.33,355.13,,,,,3150000-102-1992-00799,,,,,,내국인,대한민국
3150000,102,1989,00753,유흥주점영업,19890831,애플노래바,서울특별시 강서구 방화동로 99-1, 지하 1층 (방화동, 2동),서울특별시 강서구 방화동  580번지 153호  (지하 1층),79.91,  0226646353  ,20140402,,20010309,방화제2동,,,,룸살롱,,,1,1,4,,비대상,상수도전용,지하,,,,,,,,,9.17,31.33,0.00,0.00,0.00,6.00,7.92,31.49,0.00,0.00,,,3150000-102-1989-00753,,,,,,내국인,대한민국
3150000,102,2000,07861,유흥주점영업,20000316,워싱턴 노래반,서울특별시 강서구 개화동로31길 6, 지하 1층 (방화동, 2동),서울특별시 강서구 방화동  621번지 9호  (지하 1층),61.08,  0226662070  ,20170308,,20000316,방화제2동,,,,룸살롱,,,1,1,4,,비대상,상수도전용,지하,,,,,,,,,1.50,46.32,0.00,0.00,0.00,3.60,0.00,13.26,,,,,3150000-102-2000-07861,,,,,,내국인,대한민국
3150000,102,2000,08724,유흥주점영업,20001101,필노래반,서울특별시 강서구 개화동로 565, 지하 1층 (방화동, 2동),서울특별시 강서구 방화동  621번지 24호  (지하 1층),84.48,  0226660890  ,20120509,,20001101,방화제2동,,,,룸살롱,,,1,1,5,,비대상,상수도전용,지하,,,,,,,,,6.44,33.59,0.00,44.45,0.00,0.00,0.00,0.00,,,,,3150000-102-2000-08724,,,,,,내국인,대한민국
3150000,102,1989,00751,유흥주점영업,19890828,백악관노래반,서울특별시 강서구 초원로13길 56, (방화동),서울특별시 강서구 방화동  249번지 254호  ,94.82,  0 26645004  ,20090706,,20010516,방화제1동,,,,룸살롱,,,,,,20090925,비대상,,,,,,,,,,,6.97,41.98,0.00,0.00,3.60,0.00,0.00,42.27,,,,,3150000-102-1989-00751,,,,,,내국인,대한민국
3150000,102,1980,00772,유흥주점영업,19800124,홀리데인,서울특별시 강서구 공항대로 647, (염창동),서울특별시 강서구 염창동  283번지 14호  ,126.49,  0236653737  ,20060328,,20010420,염창동,20180228,행정처분,행정처분,룸살롱,,,,,,,비대상,상수도전용,,2,2,,,,,,,6.00,64.68,0.00,48.33,0.00,10.00,7.48,0.00,0.00,0.00,,,3150000-102-1980-00772,,,,,,내국인,
3150000,102,1987,00774,유흥주점영업,19870128,나이아가라관광,서울특별시 강서구 양천로 743, 지하 3층 (염창동, 나이아가라호텔),서울특별시 강서구 염창동  259번지 2호  외 1필지 나이아가라호텔 (지하 3층),1008.00,  0236604000  ,20181228,주식회사 마이히어로,20061013,염창동,,,,룸살롱,,,3,3,,,비대상,상수도전용,지하,,,,,,,,,86.00,555.20,0.00,216.00,60.80,0.00,90.00,0.00,0.00,0.00,,,3150000-102-1987-00774,,,,,,내국인,대한민국
3150000,102,1987,00774,유흥주점영업,19870128,나이아가라관광,서울특별시 강서구 양천로 743, 지하 3층 (염창동, 나이아가라호텔),서울특별시 강서구 염창동  259번지 2호  외 1필지 나이아가라호텔 (지하 3층),1008.00,  0236604000  ,20171025,주식회사 나이아가라,20061013,염창동,,,,룸살롱,,,3,3,,,비대상,상수도전용,지하,,,,,,,,,86.00,555.20,0.00,216.00,60.80,0.00,90.00,0.00,0.00,0.00,,,3150000-102-1987-00774,,,,,,내국인,대한민국
3150000,102,1999,07677,유흥주점영업,19991111,리버,서울특별시 강서구 공항대로 653-30, (염창동,외 1필지 (지상 9층)),서울특별시 강서구 염창동  260번지 0호  외 1필지 (지상 9층),216.53,02  36627777  ,20090619,,19991111,염창동,20130603,자진폐업,영업부진,룸살롱,,,,,,20090821,비대상,,지상2층이상,,,,,,,,,31.68,130.08,0.00,34.31,10.89,0.00,9.57,0.00,0.00,0.00,,,3150000-102-1999-07677,,,,,,내국인,대한민국
